indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz,potencia_instalada_hidraulica,potencia_instalada_ciclos_combinados,potencia_instalada_turbina_a_gas,potencia_instalada_turbovapor,potencia_instalada_nuclear,potencia_instalada_motor_diesel,potencia_instalada_eolica,potencia_instalada_biogas,potencia_instalada_solar,potencia_instalada_hidraulica_renovable,potencia_instalada_total
2001-01-01,78101.854,,,,18.485333333333333,14061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,76472.89,,,,18.28966666666667,13481.0,,,,,,,,,,,,,,,,,,,,,,,,9244.63,6210.77,2223.2,4521.0,1005.0,4.0,0.0,0.0,0.0,381.2900000000001,23589.89
2003-01-01,82213.37,,,,17.816,14359.0,,,,,,,,,,,,,,,,,,,,,,,,9286.63,6362.67,2339.2000000000003,4521.0,1005.0,4.0,0.0,0.0,0.0,381.2900000000001,23899.79
2004-01-01,87172.40999999999,,,,18.44266666666667,15032.0,,,,,,,,,,,,,,,,,,,,,,,,9357.23,6362.67,2317.2,4526.0,1005.0,4.0,0.0,0.0,0.0,381.2900000000001,23953.39
2005-01-01,92332.95,30086.495000000003,43102.875,19143.58,18.363666666666667,16143.0,,,,,,,,,,,,,,,,,,,,,,,,9597.73,6362.67,2277.2,4496.0,1005.0,4.0,0.0,0.0,0.0,381.2900000000001,24123.89
2006-01-01,96812.8,32608.358,41291.755000000005,22912.686999999998,18.575,17395.0,,,,,,,,,,,,,,,,,,,,,,,,9627.73,6282.67,2344.2000000000003,4463.0,1005.0,4.0,0.0,0.0,0.0,381.2900000000001,24107.89
2007-01-01,102950.29999999999,37111.179000000004,43484.381,22354.74,17.650000000000002,18345.0,,,,,,,,,,,,,,,,,,,,,,,,9844.279999999999,6362.67,2359.2000000000003,4573.0,1005.0,26.25,0.0,0.0,0.0,381.2900000000001,24551.69
2008-01-01,105958.09999999999,38610.044,43060.486000000004,24287.57,19.05,19126.0,,,,,,,,,,,,,,,,,,,,,,,,9852.08,6935.07,3512.1000000000004,4438.0,1005.0,266.60999999999996,0.0,0.0,0.0,381.2900000000001,26390.15
2009-01-01,104622.4,39564.99800000001,42648.252,22409.15,18.583333333333332,19566.0,,,,,,,,,,,,,,,,,,,,,,,,10222.48,7046.470000000001,3744.2340000000004,4438.0,1005.0,398.28,0.0,0.0,0.0,381.2900000000001,27235.754
2010-01-01,110798.4,42652.348999999995,44877.59100000001,23268.459999999995,18.066666666666666,20843.0,,,,,,,,,,,,,,,,,,,,,,,,10222.48,8184.77,3588.334,4438.0,1005.0,607.18,0.25,0.0,0.0,381.2900000000001,28427.304
2011-01-01,116487.9,44864.373,46414.03699999999,25209.489999999998,18.316666666666666,21564.0,,,,,,,,,,,,,,,,,,,,,,,,10753.7,8724.77,3492.504,4445.0,1005.0,1130.8199999999997,6.55,0.0,1.2,381.2900000000001,29940.834000000003
2012-01-01,121225.0,47758.776142,47609.04285800001,25857.181,18.691666666666666,21949.0,,,,,,,,,,,,,,,,,,,,,,,,10793.95,9190.770000000002,4035.5040000000004,4451.2,1005.0,1346.7799999999997,109.14999999999999,0.0,6.2,381.2900000000001,31319.844000000005
2013-01-01,125234.33481900004,50389.16354800001,48523.871270999996,26321.300000000003,18.50833333333333,23794.0,,,,,,,,,,,,,,,,,,,,,,,,10794.95,9190.770000000002,4061.3840000000005,4451.2,1010.0,1387.7399999999998,162.15000000000003,0.0,8.2,381.2900000000001,31447.684000000005
2014-01-01,126467.08000499997,51444.141258,49041.03874699999,25981.899999999998,18.625,24034.0,2544.5370050000006,2378.511734,20695.28136,1193.612775,746.308529,17088.832857999998,1263.9406219999998,2626.4654499999997,1115.073941,1756.4325289999997,1711.8227029999998,1237.648117,839.9760220000001,917.4368079999998,2582.879226,3381.4333810000003,1586.9206650000003,8626.852805999999,871.8808389999999,9288.999704,1179.7176980000002,2435.771533,509.829498,10794.95,9190.770000000002,4292.784,4451.2,1525.0,1416.0449999999998,187.35000000000002,16.6,8.2,381.2900000000001,32264.189
2015-01-01,132109.61930600004,55424.497936,50906.47055599999,25778.650813999993,18.833333333333332,23949.0,2704.4683900000005,2545.61735,22207.382744000002,1236.4925849999997,757.037308,18064.754754,1364.0054420000001,2773.5774170000004,1164.582836,1857.6036100000001,1877.5761149999996,1384.160376,890.7085350000001,950.2851600000002,2763.273181,3462.1403830000004,1719.146438,8933.01361,946.8576939999999,9720.505696,1227.170328,2592.745982,561.240525,10739.36,9227.1,4981.099999999999,4451.2,1730.3,1783.5999999999997,187.40000000000003,16.6,8.2,438.64000000000004,33563.49999999999
2016-01-01,133110.794625,57067.27742900001,51897.432639,24146.08455700001,18.1,25380.0,2939.882235,2816.603973,24457.502373000003,1463.6850009999998,748.361903,19477.180554,1420.2638740000002,2807.465483,1249.0203040000001,2015.0202799999997,2119.722254,1479.966545,937.85711,1054.115441,2925.621791,3403.1442890000003,1942.0656020000001,9298.827150000003,955.50935,10190.96819,1306.644835,2728.0396920000007,576.744343,10751.7,9227.129999999997,5251.490000000001,4451.2,1755.0,1834.247,187.35,16.6,8.2,488.24,33971.15699999999
2017-01-01,132530.219632,55906.996238,51695.85551699999,24927.367877,19.166666666666664,22701.25,2857.386146,2599.359071,22013.499164999997,1309.4654779999998,786.9366479999999,17565.433992,1312.8056760000002,2705.760206,1312.8989640000002,1923.5322509999999,2255.0286849999998,1511.403333,936.981506,1002.0807490000001,2821.614678,3361.309857,1873.970624,9121.949346,916.4908910000001,9775.564765,1302.460587,2786.641335,598.480563,10746.380000000001,10436.394999999999,6005.620000000001,4451.2,1755.0,2002.538,226.65,21.515,8.2,496.44,36149.938
2018-01-01,133009.924566,57020.332333,51471.041036,24518.551197000008,18.833333333333332,22583.666666666668,2804.7144999999996,2669.383877999999,22229.026813000004,1270.556777,766.1267040000001,17641.58707,1338.813501,2725.457446,1298.939775,1981.4550739999997,2288.005109,1588.4677699999997,946.730551,1005.3028069999999,2863.528905,3219.1264109999997,1838.2781270000003,9270.803419000002,905.6974629999997,9860.999108999998,1353.646156,3005.021072,634.323649,10790.380000000001,11034.394999999999,7237.128,4451.2,1755.0,1808.045999999999,750.2499999999999,22.715,190.63,497.94,38537.684
2019-01-01,128946.058016,55528.670565999986,49871.320211,23546.067238999996,18.666666666666664,22937.333333333332,2667.3856029999997,2645.8911150000004,21457.996456999997,1191.097932,750.43431,17259.700152,1333.85841,2701.3652700000002,1271.999833,1954.465326,2287.691061,1506.8454520000005,924.9151660000001,956.1309519999999,2694.750524,3218.46351,1858.3253539999998,9051.223623000002,925.597001,9534.419612000002,1313.9506110000002,2799.754658,607.629404,10812.380000000001,11244.714999999998,7410.68,4251.2,1755.0,1653.392,1608.5500000000004,45.675,439.22999999999996,497.94,39718.76200000001
2020-01-01,127306.937851,60021.332806000006,46547.920522,20737.684522999996,18.575,22228.916666666668,2737.438608,2711.5581469999997,21832.353822,1195.408044,775.716584,17204.586472000003,1345.4456369999998,2704.004985,1342.124114,1987.893337,2497.2072969999995,1576.617843,930.206419,1008.386596,2763.435305,3258.854700000001,1919.961333,8937.59403,871.7282009999999,9565.973521999998,1365.666278,2908.1672600000006,591.680364,10834.380000000001,13119.794,6298.4710000000005,4251.2,1755.0,1692.534,2623.095,108.175,758.9600000000002,509.58,41951.189
