indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima
2001-01-01,78101.854,,,,18.485333333333333,14061.0
2002-01-01,76472.89,,,,18.28966666666667,13481.0
2003-01-01,82213.37,,,,17.816,14359.0
2004-01-01,87172.40999999999,,,,18.44266666666667,15032.0
2005-01-01,92332.95,30086.495000000003,43102.875,19143.58,18.363666666666667,16143.0
2006-01-01,96812.8,32608.358,41291.755000000005,22912.687,18.575,17395.0
2007-01-01,102950.3,37111.179,43484.381,22354.74,17.650000000000002,18345.0
2008-01-01,105958.1,38610.044,43060.486,24287.57,19.05,19126.0
2009-01-01,104622.4,39564.99800000001,42648.252,22409.15,18.58333333333333,19566.0
2010-01-01,110798.4,42652.349,44877.59100000001,23268.459999999995,18.066666666666663,20843.0
2011-01-01,116487.9,44864.373,46414.03699999999,25209.49,18.316666666666663,21564.0
2012-01-01,121225.0,47758.776142,47609.04285800001,25857.181,18.691666666666663,21949.0
2013-01-01,125234.33481900004,50389.16354800001,48523.871271,26321.300000000003,18.50833333333333,23794.0
2014-01-01,126467.08000499997,51444.141258,49041.03874699999,25981.9,18.625,24034.0
2015-01-01,132109.61930600004,55424.497936,50906.47055599999,25778.650813999997,18.83333333333333,23949.0
2016-01-01,133110.794625,57067.27742900001,51897.432639,24146.08455700001,18.1,25380.0
2017-01-01,132530.219632,55906.996238,51695.85551699999,24927.367877,19.166666666666664,22701.25
2018-01-01,133009.924566,57020.332333,51471.041036,24518.551197000008,18.83333333333333,22583.666666666668
2019-01-01,128946.058016,55528.67056599999,49871.320211,23546.067239,18.666666666666664,22937.33333333333
2020-01-01,127306.937851,60021.332806000006,46547.920522,20737.684523,18.575,22228.916666666668
2021-01-01,133877.48651299995,60785.862001999965,49278.993692,23812.630819,18.75,23350.166666666668
2022-01-01,138775.233404,63156.98233699999,51661.950967,23956.300100000008,18.416666666666668,24033.58333333333
2023-01-01,140883.538343,65286.370174,51727.53755400001,23869.630615000005,19.399999999999995,24363.416666666668
2024-01-01,140219.400785,65537.511835,51385.987063,23295.901887,18.941666666666663,24165.58333333333
